Index,WEKO_ID,_id
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,2,ZpdL2YgBn6nxEJfowbOB
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,3,Z5dL2YgBn6nxEJfowbOH
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,4,aJdL2YgBn6nxEJfowbOO
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,5,aZdL2YgBn6nxEJfowbOU
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,6,apdL2YgBn6nxEJfowbOZ
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,7,a5dL2YgBn6nxEJfowbOf
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,8,bJdL2YgBn6nxEJfowbOl
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,9,bZdL2YgBn6nxEJfowbOq
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,10,bpdL2YgBn6nxEJfowbOv
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,11,b5dL2YgBn6nxEJfowbO1
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,12,cJdL2YgBn6nxEJfowbO7
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,13,cZdL2YgBn6nxEJfowbPA
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,14,cpdL2YgBn6nxEJfowbPG
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,15,c5dL2YgBn6nxEJfowbPL
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,16,dJdL2YgBn6nxEJfowbPQ
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,17,dZdL2YgBn6nxEJfowbPV
nifs_repository_repo_nii_ac_jp-authors-author-v1.0.0,18,dpdL2YgBn6nxEJfowbPa
niph_repo_nii_ac_jp-authors-author-v1.0.0,6,IvuyH4gBiUMg2aoU8LbT
niph_repo_nii_ac_jp-authors-author-v1.0.0,7,I_uyH4gBiUMg2aoU8Lba
niph_repo_nii_ac_jp-authors-author-v1.0.0,8,JPuyH4gBiUMg2aoU8Lbh
niph_repo_nii_ac_jp-authors-author-v1.0.0,9,JfuyH4gBiUMg2aoU8Lbp
niph_repo_nii_ac_jp-authors-author-v1.0.0,10,JvuyH4gBiUMg2aoU8Lby
niph_repo_nii_ac_jp-authors-author-v1.0.0,13,J_uyH4gBiUMg2aoU8Lb5
niph_repo_nii_ac_jp-authors-author-v1.0.0,16,KPuyH4gBiUMg2aoU8bYA
niph_repo_nii_ac_jp-authors-author-v1.0.0,23,KfuyH4gBiUMg2aoU8bYI
niph_repo_nii_ac_jp-authors-author-v1.0.0,24,KvuyH4gBiUMg2aoU8bYP
niph_repo_nii_ac_jp-authors-author-v1.0.0,25,K_uyH4gBiUMg2aoU8bYW
niph_repo_nii_ac_jp-authors-author-v1.0.0,26,LPuyH4gBiUMg2aoU8bYc
niph_repo_nii_ac_jp-authors-author-v1.0.0,35,LfuyH4gBiUMg2aoU8bYj
niph_repo_nii_ac_jp-authors-author-v1.0.0,36,LvuyH4gBiUMg2aoU8bYq
niph_repo_nii_ac_jp-authors-author-v1.0.0,39,L_uyH4gBiUMg2aoU8bYx
niph_repo_nii_ac_jp-authors-author-v1.0.0,40,MPuyH4gBiUMg2aoU8bY3
niph_repo_nii_ac_jp-authors-author-v1.0.0,42,MfuyH4gBiUMg2aoU8bY9
niph_repo_nii_ac_jp-authors-author-v1.0.0,44,MvuyH4gBiUMg2aoU8bZE
niph_repo_nii_ac_jp-authors-author-v1.0.0,45,M_uyH4gBiUMg2aoU8bZL
niph_repo_nii_ac_jp-authors-author-v1.0.0,46,NPuyH4gBiUMg2aoU8bZS
niph_repo_nii_ac_jp-authors-author-v1.0.0,47,NfuyH4gBiUMg2aoU8bZY
niph_repo_nii_ac_jp-authors-author-v1.0.0,48,NvuyH4gBiUMg2aoU8bZe
niph_repo_nii_ac_jp-authors-author-v1.0.0,49,N_uyH4gBiUMg2aoU8bZl
niph_repo_nii_ac_jp-authors-author-v1.0.0,50,OPuyH4gBiUMg2aoU8bZt
niph_repo_nii_ac_jp-authors-author-v1.0.0,51,OfuyH4gBiUMg2aoU8bZz
niph_repo_nii_ac_jp-authors-author-v1.0.0,54,OvuyH4gBiUMg2aoU8bZ8
niph_repo_nii_ac_jp-authors-author-v1.0.0,55,O_uyH4gBiUMg2aoU8baC
niph_repo_nii_ac_jp-authors-author-v1.0.0,56,PPuyH4gBiUMg2aoU8baJ
niph_repo_nii_ac_jp-authors-author-v1.0.0,57,PfuyH4gBiUMg2aoU8baP
niph_repo_nii_ac_jp-authors-author-v1.0.0,58,PvuyH4gBiUMg2aoU8baV
niph_repo_nii_ac_jp-authors-author-v1.0.0,60,P_uyH4gBiUMg2aoU8bab
niph_repo_nii_ac_jp-authors-author-v1.0.0,61,QPuyH4gBiUMg2aoU8bai
niph_repo_nii_ac_jp-authors-author-v1.0.0,62,QfuyH4gBiUMg2aoU8bap
niph_repo_nii_ac_jp-authors-author-v1.0.0,74,QvuyH4gBiUMg2aoU8baw
niph_repo_nii_ac_jp-authors-author-v1.0.0,83,Q_uyH4gBiUMg2aoU8ba3
niph_repo_nii_ac_jp-authors-author-v1.0.0,95,RPuyH4gBiUMg2aoU8ba9
niph_repo_nii_ac_jp-authors-author-v1.0.0,100,RfuyH4gBiUMg2aoU8bbE
nitech_repo_nii_ac_jp-authors-author-v1.0.0,1,TuRhH4gBj3l2sWWcckqO
nitech_repo_nii_ac_jp-authors-author-v1.0.0,2,T-RhH4gBj3l2sWWcckqs
nitech_repo_nii_ac_jp-authors-author-v1.0.0,3,UORhH4gBj3l2sWWcckqx
nitech_repo_nii_ac_jp-authors-author-v1.0.0,4,UeRhH4gBj3l2sWWcckq2
nitech_repo_nii_ac_jp-authors-author-v1.0.0,5,UuRhH4gBj3l2sWWcckq6
nitech_repo_nii_ac_jp-authors-author-v1.0.0,6,U-RhH4gBj3l2sWWcckq-
nittaidai_repo_nii_ac_jp-authors-author-v1.0.0,2,z73Y0ogBrlSrvV2H5LEt
nittaidai_repo_nii_ac_jp-authors-author-v1.0.0,3,0L3Y0ogBrlSrvV2H5LFU
nittaidai_repo_nii_ac_jp-authors-author-v1.0.0,4,0b3Y0ogBrlSrvV2H5LFd
nittaidai_repo_nii_ac_jp-authors-author-v1.0.0,5,0r3Y0ogBrlSrvV2H5LFl
nittaidai_repo_nii_ac_jp-authors-author-v1.0.0,6,073Y0ogBrlSrvV2H5LFt
nittaidai_repo_nii_ac_jp-authors-author-v1.0.0,7,1L3Y0ogBrlSrvV2H5LF1
nittaidai_repo_nii_ac_jp-authors-author-v1.0.0,8,1b3Y0ogBrlSrvV2H5LF8
nittaidai_repo_nii_ac_jp-authors-author-v1.0.0,9,1r3Y0ogBrlSrvV2H5LGC
nittaidai_repo_nii_ac_jp-authors-author-v1.0.0,10,173Y0ogBrlSrvV2H5LGJ
nsg_repo_nii_ac_jp-authors-author-v1.0.0,1,taQpH4gBRgf5q22U4GoM
nsg_repo_nii_ac_jp-authors-author-v1.0.0,2,tqQpH4gBRgf5q22U4Go1
obihiro_repo_nii_ac_jp-authors-author-v1.0.0,1,BSL2H4gBl_zCa22C3YQ_
